"vacancyID","applicationDate","candidateID","name","nameLat","gender","occupation","ethnicity","city","city2","website","RA","ethnCollapsed","ethnGroup2","emailContact","websiteContact","phoneContact","response","rejected","genderEmp","notRussianEmp"
1,2018-05-30,113,"Рузанна Акопян","Ruzanna Akopyan","female","cook","Armenian","Moscow","Moscow/St Petersburg","1","1","Armenian","Southern",0,0,1,1,0,"female",0
2,2018-05-30,273,"Парвина Мирзоева","Parvina Mirzoyeva","female","cook","Tajik","Moscow","Moscow/St Petersburg","1","1","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
3,2018-05-30,226,"Томас Скурвидас","Thomas Skurvidas","male","cook","Lithuanian","St Petersburg","Moscow/St Petersburg","1","4","Latvian/Lithuanian","European",0,1,0,1,0,"female",0
4,2018-05-30,306,"Айтен Исмаилова","Ayten Ismailova","female","cook","Azeri","St Petersburg","Moscow/St Petersburg","1","1","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
5,2018-05-30,243,"Ирена Вейгуле","Irena Veygule","female","cook","Latvian","Kazan","Kazan/Ufa","1","1","Latvian/Lithuanian","European",0,0,0,0,0,NA,NA
6,2018-05-30,307,"Арзу Мамедова","Arzu Mamedova","female","cook","Azeri","Kazan","Kazan/Ufa","1","1","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
7,2018-05-30,164,"Равиль Гафиятуллин","Ravil Gafiyatullin","male","cook","Tatar","Ufa","Kazan/Ufa","1","4","Tatar","Southern",0,1,0,1,0,NA,NA
8,2018-05-30,292,"Анар Рагимли","Anar Rahimli","male","cook","Azeri","Ufa","Kazan/Ufa","1","4","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
9,2018-05-30,77,"Лука Харчилава","Luka Kharchilava","male","programmer","Georgian","Moscow","Moscow/St Petersburg","1","4","Georgian","Southern",0,0,0,0,1,NA,NA
10,2018-05-30,173,"Алмаз Нуруллин","Almaz Nurullin","male","programmer","Tatar","Moscow","Moscow/St Petersburg","1","4","Tatar","Southern",0,0,0,0,0,NA,NA
11,2018-05-30,14,"Федор Волков","Fyodor Volkov","male","programmer","Russian","St Petersburg","Moscow/St Petersburg","1","4","Russian","European",0,0,1,1,0,"female",0
12,2018-05-30,46,"Михайло Приступа","Mihailo Prystupa","male","programmer","Ukrainian","St Petersburg","Moscow/St Petersburg","1","4","Ukrainian","European",0,0,0,0,0,NA,NA
13,2018-05-30,207,"Иван Штауб","Ivan Staub","male","programmer","German","Kazan","Kazan/Ufa","1","4","German","European",0,1,0,1,0,"female",1
14,2018-05-30,287,"Нигина Рахмонова","Nigina Rakhmonova","female","programmer","Tajik","Kazan","Kazan/Ufa","1","1","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
15,2018-05-30,48,"Ростислав Иванченко","Rostislav Ivanchenko","male","programmer","Ukrainian","Ufa","Kazan/Ufa","1","4","Ukrainian","European",0,0,0,0,0,NA,NA
16,2018-05-30,96,"Лика Чхаидзе","Lika Chkhaidze","female","programmer","Georgian","Ufa","Kazan/Ufa","1","1","Georgian","Southern",0,0,0,0,0,NA,NA
17,2018-05-30,274,"Азиза Назирова","Aziza Nazirova","female","cook","Uzbek","St Petersburg","Moscow/St Petersburg","2","2","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
18,2018-05-30,114,"Лилит Саакян","Lilit Sahakyan","female","cook","Armenian","St Petersburg","Moscow/St Petersburg","2","2","Armenian","Southern",0,1,0,1,0,NA,NA
19,2018-05-30,65,"Каха Абуладзе","Kakha Abuladze","male","cook","Georgian","Moscow","Moscow/St Petersburg","2","3","Georgian","Southern",0,1,0,1,0,NA,NA
20,2018-05-30,257,"Достон Ибодуллаев","Doston Ibodullaev","male","cook","Uzbek","Moscow","Moscow/St Petersburg","2","3","Tajik/Uzbek","Southern",0,1,1,1,0,"male",0
21,2018-05-30,35,"Андрий Загарюк","Andriy Zagaryuk","male","cook","Ukrainian","Kazan","Kazan/Ufa","2","3","Ukrainian","European",0,0,0,0,0,NA,NA
22,2018-05-30,67,"Коба Майсурадзе","Koba Maisuradze","male","cook","Georgian","Kazan","Kazan/Ufa","2","3","Georgian","Southern",0,1,0,1,0,NA,NA
23,2018-05-30,212,"Лилия Вебер","Liliya Weber","female","cook","German","Ufa","Kazan/Ufa","2","2","German","European",0,0,0,0,0,NA,NA
